"FID";"snow_emergency_name";"service_date";"address";"latitude";"longitude";"day_id";"ward";"neighborhood";"community";"tow_district"
1;"Yardville";"2018-02-25 00:00:00";"3820 CHICAGO AVE S,Minneapolis,MN";44.933;-93.262;1;8;"Bancroft";"Powderhorn";6
2;"Yardville";"2018-02-25 00:00:00";"2936 Johnson St NE,Minneapolis,MN";45.022;-93.237;1;1;"Audubon Park";"Northeast";2
3;"Yardville";"2018-02-26 00:00:00";"3526 Elliott Avenue,Minneapolis,MN";44.939;-93.261;2;9;"Powderhorn Park";"Powderhorn";6
4;"Yardville";"2018-02-25 00:00:00";"119 13th Ave NE,Minneapolis,MN";45.001;-93.269;1;3;"Sheridan";"Northeast";2
5;"Yardville";"2018-02-26 00:00:00";"3148 18th ave so,Minneapolis,MN";44.945;-93.249;2;9;"Powderhorn Park";"Powderhorn";6
6;"Yardville";"2018-02-25 00:00:00";"1815 Central Ave NE,Minneapolis,MN";45.007;-93.247;1;1;"Windom Park";"Northeast";2
7;"Yardville";"2018-02-26 00:00:00";"3148 10th ave s,Minneapolis,MN";44.945;-93.26;2;9;"Powderhorn Park";"Powderhorn";6
8;"Yardville";"2018-02-25 00:00:00";"1804 Central Ave NE,Minneapolis,MN";45.006;-93.248;1;1;"Logan Park";"Northeast";2
9;"Yardville";"2018-02-26 00:00:00";"3720 15th av s,Minneapolis,MN";44.935;-93.254;2;9;"Powderhorn Park";"Powderhorn";6
10;"Yardville";"2018-02-25 00:00:00";"1801 Central Ave NE,Minneapolis,MN";45.006;-93.247;1;1;"Windom Park";"Northeast";2
11;"Yardville";"2018-02-26 00:00:00";"3700 ELLIOT AVE,Minneapolis,MN";44.936;-93.262;2;9;"Powderhorn Park";"Powderhorn";6
12;"Yardville";"2018-02-25 00:00:00";"1815 Central Ave NE,Minneapolis,MN";45.007;-93.247;1;1;"Windom Park";"Northeast";2
13;"Yardville";"2018-02-26 00:00:00";"5224 28th ave,Minneapolis,MN";44.908;-93.233;1;11;"Keewaydin";"Nokomis";6
14;"Yardville";"2018-02-25 00:00:00";"130 13th Ave NE,Minneapolis,MN";45.0;-93.269;1;3;"Sheridan";"Northeast";2
15;"Yardville";"2018-02-26 00:00:00";"3734 ELLIOT AVE,Minneapolis,MN";44.935;-93.261;2;9;"Powderhorn Park";"Powderhorn";6
16;"Yardville";"2018-02-25 00:00:00";"119 13th Ave NE,Minneapolis,MN";45.001;-93.269;1;3;"Sheridan";"Northeast";2
17;"Yardville";"2018-02-26 00:00:00";"3851 28th ave,Minneapolis,MN";44.933;-93.232;1;12;"Standish";"Powderhorn";6
18;"Yardville";"2018-02-25 00:00:00";"2300 Central Ave NE,Minneapolis,MN";45.011;-93.248;1;1;"Holland";"Northeast";2
19;"Yardville";"2018-02-25 00:00:00";"2016 Central Ave NE,Minneapolis,MN";45.01;-93.248;1;1;"Holland";"Northeast";2
20;"Yardville";"2018-02-26 00:00:00";"3200 BLOCK 23 ave s,Minneapolis,MN";44.945;-93.239;1;9;"Corcoran";"Powderhorn";6
21;"Yardville";"2018-02-25 00:00:00";"1810 Central Ave NE,Minneapolis,MN";45.006;-93.248;1;1;"Logan Park";"Northeast";2
22;"Yardville";"2018-02-26 00:00:00";"3858 38TH AVE S,Minneapolis,MN";44.933;-93.218;1;12;"Howe";"Longfellow";6
23;"Yardville";"2018-02-25 00:00:00";"2625 Central Ave NE,Minneapolis,MN";45.016;-93.247;1;1;"Audubon Park";"Northeast";2
24;"Yardville";"2018-02-26 00:00:00";"3207 35TH ST E,Minneapolis,MN";44.94;-93.226;1;12;"Howe";"Longfellow";6
25;"Yardville";"2018-02-25 00:00:00";"119 13th Ave NE,Minneapolis,MN";45.001;-93.269;1;3;"Sheridan";"Northeast";2
26;"Yardville";"2018-02-26 00:00:00";"3036 19th ave so,Minneapolis,MN";44.947;-93.245;2;9;"Corcoran";"Powderhorn";6
27;"Yardville";"2018-02-26 00:00:00";"732 quincy st ne,Minneapolis,MN";44.998;-93.251;2;3;"St. Anthony East";"Northeast";2
28;"Yardville";"2018-02-26 00:00:00";"3024 elliot AVE,Minneapolis,MN";44.947;-93.262;2;9;"Powderhorn Park";"Powderhorn";6
29;"Yardville";"2018-02-26 00:00:00";"2641 Marshall St NE,Minneapolis,MN";45.016;-93.272;1;1;"Marshall Terrace";"Northeast";2
30;"Yardville";"2018-02-26 00:00:00";"3104 19th ave s,Minneapolis,MN";44.946;-93.245;2;9;"Corcoran";"Powderhorn";6
31;"Yardville";"2018-02-26 00:00:00";"3106 37th ave s,Minneapolis,MN";44.946;-93.219;2;2;"Longfellow";"Longfellow";6
32;"Yardville";"2018-02-26 00:00:00";"3014 13th ave,Minneapolis,MN";44.948;-93.257;2;9;"Powderhorn Park";"Powderhorn";6
33;"Yardville";"2018-02-26 00:00:00";"3512 15th ave s,Minneapolis,MN";44.939;-93.254;2;9;"Powderhorn Park";"Powderhorn";6
34;"Yardville";"2018-02-26 00:00:00";"3822 16th Ave South,Minneapolis,MN";44.933;-93.251;2;8;"Bancroft";"Powderhorn";6
35;"Yardville";"2018-02-26 00:00:00";"3640 54th St E,Minneapolis,MN";44.905;-93.22;1;12;"Minnehaha";"Nokomis";6
36;"Yardville";"2018-02-26 00:00:00";"5200 BLOCK BLOOMINGTON AVE ,Minneapolis,MN";44.909;-93.252;1;11;"Hale";"Nokomis";6
37;"Yardville";"2018-02-26 00:00:00";"3250 35th St E,Minneapolis,MN";44.94;-93.225;1;12;"Howe";"Longfellow";6
38;"Yardville";"2018-02-26 00:00:00";"3300-3399 Minnehaha Avenue South,Minneapolis,MN";44.943;-93.231;1;9;"Longfellow";"Longfellow";6
39;"Yardville";"2018-02-26 00:00:00";"2800 33st ST e,Minneapolis,MN";44.943;-93.232;1;9;"Longfellow";"Longfellow";6
40;"Yardville";"2018-02-26 00:00:00";"3008 11th av s,Minneapolis,MN";44.948;-93.259;2;9;"Powderhorn Park";"Powderhorn";6
41;"Yardville";"2018-02-26 00:00:00";"3146 28TH AVE S,Minneapolis,MN";44.946;-93.232;2;2;"Longfellow";"Longfellow";6
42;"Yardville";"2018-02-26 00:00:00";"3200 minnehaha AVE S,Minneapolis,MN";44.945;-93.232;1;9;"Longfellow";"Longfellow";6
43;"Yardville";"2018-02-26 00:00:00";"3320 MINNEHAHA AVE S,Minneapolis,MN";44.942;-93.23;1;9;"Longfellow";"Longfellow";6
44;"Yardville";"2018-02-26 00:00:00";"3200 minnehaha AVE S,Minneapolis,MN";44.945;-93.232;1;9;"Longfellow";"Longfellow";6
45;"Yardville";"2018-02-26 00:00:00";"3530 ELLIOT AVE,Minneapolis,MN";44.939;-93.262;2;9;"Powderhorn Park";"Powderhorn";6
46;"Yardville";"2018-02-26 00:00:00";"3620 MINNEHAHA AVE S,Minneapolis,MN";44.937;-93.226;1;12;"Howe";"Longfellow";6
47;"Yardville";"2018-02-26 00:00:00";"5736 33rd ave s,Minneapolis,MN";44.899;-93.224;2;11;"Wenonah";"Nokomis";6
48;"Yardville";"2018-02-26 00:00:00";"3426 21ST AVE S,Minneapolis,MN";44.94;-93.242;2;9;"Corcoran";"Powderhorn";6
49;"Yardville";"2018-02-26 00:00:00";"3116 22ND AVE S,Minneapolis,MN";44.946;-93.241;2;9;"Corcoran";"Powderhorn";6
50;"Yardville";"2018-02-26 00:00:00";"1820 41st st e,Minneapolis,MN";44.929;-93.248;2;8;"Bancroft";"Powderhorn";6
51;"Yardville";"2018-02-26 00:00:00";"3600-3699 Minnehaha Avenue,Minneapolis,MN";44.938;-93.227;1;12;"Howe";"Longfellow";6
52;"Yardville";"2018-02-26 00:00:00";"1606 33rd st e,Minneapolis,MN";44.943;-93.251;2;9;"Powderhorn Park";"Powderhorn";6
53;"Yardville";"2018-02-26 00:00:00";"3700 minnehaha ave,Minneapolis,MN";44.936;-93.226;1;12;"Howe";"Longfellow";6
54;"Yardville";"2018-02-26 00:00:00";"2710 41st st e,Minneapolis,MN";44.929;-93.233;2;12;"Standish";"Powderhorn";6
55;"Yardville";"2018-02-26 00:00:00";"3516 41st st,Minneapolis,MN";44.929;-93.221;2;12;"Hiawatha";"Longfellow";6
56;"Yardville";"2018-02-26 00:00:00";"3228 24th ave,Minneapolis,MN";44.944;-93.238;2;9;"Corcoran";"Powderhorn";6
57;"Yardville";"2018-02-26 00:00:00";"3317 MINNEHAHA AVE S,Minneapolis,MN";44.943;-93.23;2;2;"Longfellow";"Longfellow";6
58;"Yardville";"2018-02-26 00:00:00";"3830 MINNEHAHA AVE S,Minneapolis,MN";44.933;-93.223;1;12;"Howe";"Longfellow";6
59;"Yardville";"2018-02-26 00:00:00";"3600 Minnehaha Ave,Minneapolis,MN";44.938;-93.227;1;12;"Howe";"Longfellow";6
60;"Yardville";"2018-02-26 00:00:00";"3701-3799 Minnehaha Avenue,Minneapolis,MN";44.935;-93.225;1;12;"Howe";"Longfellow";6
61;"Yardville";"2018-02-26 00:00:00";"3698 Minnehaha Ave,Minneapolis,MN";44.936;-93.225;1;12;"Howe";"Longfellow";6
62;"Yardville";"2018-02-26 00:00:00";"4329 MINNEHAHA AVE S,Minneapolis,MN";44.924;-93.217;1;12;"Hiawatha";"Longfellow";6
63;"Yardville";"2018-02-26 00:00:00";"4320 MINNEHAHA AVE S,Minneapolis,MN";44.924;-93.218;1;12;"Hiawatha";"Longfellow";6
64;"Yardville";"2018-02-26 00:00:00";"3504 14th ave s ,Minneapolis,MN";44.939;-93.255;2;9;"Powderhorn Park";"Powderhorn";6
65;"Yardville";"2018-02-26 00:00:00";"3538 14th ave S,Minneapolis,MN";44.938;-93.255;2;9;"Powderhorn Park";"Powderhorn";6
66;"Yardville";"2018-02-26 00:00:00";"3542 14th ave,Minneapolis,MN";44.938;-93.255;2;9;"Powderhorn Park";"Powderhorn";6
67;"Yardville";"2018-02-26 00:00:00";"4040 14th av s,Minneapolis,MN";44.929;-93.255;2;8;"Bancroft";"Powderhorn";6
68;"Yardville";"2018-02-26 00:00:00";"4318 13th ave s,Minneapolis,MN";44.924;-93.256;2;11;"Northrop";"Nokomis";6
69;"Yardville";"2018-02-26 00:00:00";"4034 12th ave s ,Minneapolis,MN";44.929;-93.257;2;8;"Bancroft";"Powderhorn";6
70;"Yardville";"2018-02-26 00:00:00";"1428 40th st E,Minneapolis,MN";44.931;-93.255;2;8;"Bancroft";"Powderhorn";6
71;"Yardville";"2018-02-26 00:00:00";"3736 14th ave,Minneapolis,MN";44.935;-93.255;2;9;"Powderhorn Park";"Powderhorn";6
72;"Yardville";"2018-02-26 00:00:00";"4108 12th ave s,Minneapolis,MN";44.928;-93.258;2;8;"Bancroft";"Powderhorn";6
73;"Yardville";"2018-02-26 00:00:00";"3708 12th av s,Minneapolis,MN";44.936;-93.258;2;9;"Powderhorn Park";"Powderhorn";6
74;"Yardville";"2018-02-26 00:00:00";"4002 14TH AVE S ,Minneapolis,MN";44.93;-93.255;2;8;"Bancroft";"Powderhorn";6
75;"Yardville";"2018-02-26 00:00:00";"4002 12TH AVE S,Minneapolis,MN";44.93;-93.257;2;8;"Bancroft";"Powderhorn";6
76;"Yardville";"2018-02-26 00:00:00";"3114 15th ave s,Minneapolis,MN";44.946;-93.254;2;9;"Powderhorn Park";"Powderhorn";6
77;"Yardville";"2018-02-26 00:00:00";"3820 11th ave s,Minneapolis,MN";44.933;-93.259;2;8;"Bancroft";"Powderhorn";6
78;"Yardville";"2018-02-26 00:00:00";"3106 15th ave s,Minneapolis,MN";44.946;-93.254;2;9;"Powderhorn Park";"Powderhorn";6
79;"Yardville";"2018-02-26 00:00:00";"3536 11th av s,Minneapolis,MN";44.938;-93.259;2;9;"Powderhorn Park";"Powderhorn";6
80;"Yardville";"2018-02-26 00:00:00";"3444 11th ave,Minneapolis,MN";44.94;-93.259;2;9;"Powderhorn Park";"Powderhorn";6
81;"Yardville";"2018-02-26 00:00:00";"4016 13th ave,Minneapolis,MN";44.93;-93.256;2;8;"Bancroft";"Powderhorn";6
82;"Yardville";"2018-02-26 00:00:00";"3734 15th ave s,Minneapolis,MN";44.935;-93.254;2;9;"Powderhorn Park";"Powderhorn";6
83;"Yardville";"2018-02-26 00:00:00";"3102 15TH AVE S,Minneapolis,MN";44.946;-93.254;2;9;"Powderhorn Park";"Powderhorn";6
84;"Yardville";"2018-02-26 00:00:00";"3736 11th ave s,Minneapolis,MN";44.935;-93.259;2;9;"Powderhorn Park";"Powderhorn";6
85;"Yardville";"2018-02-26 00:00:00";"3052 15TH AVE S,Minneapolis,MN";44.947;-93.254;2;9;"Powderhorn Park";"Powderhorn";6
86;"Yardville";"2018-02-26 00:00:00";"3440 10th av s,Minneapolis,MN";44.94;-93.26;2;9;"Powderhorn Park";"Powderhorn";6
87;"Yardville";"2018-02-26 00:00:00";"3512 16th Ave South,Minneapolis,MN";44.939;-93.251;2;9;"Powderhorn Park";"Powderhorn";6
88;"Yardville";"2018-02-26 00:00:00";"3748 17th Ave South,Minneapolis,MN";44.934;-93.25;2;9;"Powderhorn Park";"Powderhorn";6
89;"Yardville";"2018-02-26 00:00:00";"4320 Elliott Avenue,Minneapolis,MN";44.924;-93.262;2;11;"Northrop";"Nokomis";6
90;"Yardville";"2018-02-26 00:00:00";"2829 33RD ST E,Minneapolis,MN";44.943;-93.231;2;9;"Longfellow";"Longfellow";6
91;"Yardville";"2018-02-26 00:00:00";"1030 40th ST E,Minneapolis,MN";44.931;-93.26;2;8;"Bancroft";"Powderhorn";6
92;"Yardville";"2018-02-26 00:00:00";"3746 11th ave,Minneapolis,MN";44.935;-93.259;2;9;"Powderhorn Park";"Powderhorn";6
93;"Yardville";"2018-02-26 00:00:00";"3748 Elliot ave s,Minneapolis,MN";44.935;-93.262;2;9;"Powderhorn Park";"Powderhorn";6
94;"Yardville";"2018-02-26 00:00:00";"3440 11TH AVE S,Minneapolis,MN";44.94;-93.259;2;9;"Powderhorn Park";"Powderhorn";6
95;"Yardville";"2018-02-26 00:00:00";"3438 10TH AVE S,Minneapolis,MN";44.94;-93.26;2;9;"Powderhorn Park";"Powderhorn";6
96;"Yardville";"2018-02-26 00:00:00";"3444 Elliot av s,Minneapolis,MN";44.94;-93.261;2;9;"Powderhorn Park";"Powderhorn";6
97;"Yardville";"2018-02-26 00:00:00";"4225 BLOOMINGTON AVE S,Minneapolis,MN";44.926;-93.252;1;8;"Northrop";"Nokomis";6
98;"Yardville";"2018-02-26 00:00:00";"4220 BLOOMINGTON AVE S,Minneapolis,MN";44.926;-93.252;1;8;"Northrop";"Nokomis";6
99;"Yardville";"2018-02-26 00:00:00";"5165 Bloomington Ave S,Minneapolis,MN";44.909;-93.25;1;11;"Hale";"Nokomis";6
100;"Yardville";"2018-02-26 00:00:00";"3806 Elliott Avenue,Minneapolis,MN";44.934;-93.261;2;8;"Bancroft";"Powderhorn";6
101;"Yardville";"2018-02-26 00:00:00";"3746 10TH AVE S,Minneapolis,MN";44.935;-93.26;2;9;"Powderhorn Park";"Powderhorn";6
102;"Yardville";"2018-02-26 00:00:00";"3600 bloomington AVE S,Minneapolis,MN";44.938;-93.253;1;9;"Powderhorn Park";"Powderhorn";6
103;"Yardville";"2018-02-26 00:00:00";"3699 Bloomington Ave S,Minneapolis,MN";44.936;-93.252;1;9;"Powderhorn Park";"Powderhorn";6
104;"Yardville";"2018-02-26 00:00:00";"4400 Bloomington AVE S,Minneapolis,MN";44.923;-93.253;1;11;"Northrop";"Nokomis";6
105;"Yardville";"2018-02-26 00:00:00";"4400 BLOCK Bloomington Avenue,Minneapolis,MN";44.923;-93.252;1;11;"Northrop";"Nokomis";6
106;"Yardville";"2018-02-26 00:00:00";"3536 10TH AVE S,Minneapolis,MN";44.938;-93.26;2;9;"Powderhorn Park";"Powderhorn";6
107;"Yardville";"2018-02-26 00:00:00";"3504 Elliot Ave South,Minneapolis,MN";44.939;-93.261;2;9;"Powderhorn Park";"Powderhorn";6
108;"Yardville";"2018-02-26 00:00:00";"3538 Elliot Ave South,Minneapolis,MN";44.938;-93.262;2;9;"Powderhorn Park";"Powderhorn";6
109;"Yardville";"2018-02-26 00:00:00";"1526 32nd st e,Minneapolis,MN";44.945;-93.252;2;9;"Powderhorn Park";"Powderhorn";6
110;"Yardville";"2018-02-26 00:00:00";"3804 Elliot ave s,Minneapolis,MN";44.934;-93.262;2;8;"Bancroft";"Powderhorn";6
111;"Yardville";"2018-02-26 00:00:00";"4200 BLOCK BLOOMINGTON AVE,Minneapolis,MN";44.927;-93.252;1;8;"Northrop";"Nokomis";6
112;"Yardville";"2018-02-26 00:00:00";"3412 Elliot av s,Minneapolis,MN";44.941;-93.261;2;9;"Powderhorn Park";"Powderhorn";6
113;"Yardville";"2018-02-26 00:00:00";"3300 BLOCK BLOOMINGTON AVE ,Minneapolis,MN";44.943;-93.252;1;9;"Powderhorn Park";"Powderhorn";6
114;"Yardville";"2018-02-26 00:00:00";"1600 BLOCK 31 st e,Minneapolis,MN";44.947;-93.251;1;9;"Powderhorn Park";"Powderhorn";6
115;"Yardville";"2018-02-26 00:00:00";"1600 BLOCK 31 st e,Minneapolis,MN";44.947;-93.251;1;9;"Powderhorn Park";"Powderhorn";6
116;"Yardville";"2018-02-27 00:00:00";"5745 Bossen Terr,Minneapolis,MN";44.899;-93.226;3;11;"Wenonah";"Nokomis";6
117;"Yardville";"2018-02-27 00:00:00";"4229 39th Ave S,Minneapolis,MN";44.926;-93.216;3;12;"Hiawatha";"Longfellow";6
118;"Yardville";"2018-02-27 00:00:00";"3019 35th Ave S,Minneapolis,MN";44.948;-93.221;2;2;"Longfellow";"Longfellow";6
119;"Yardville";"2018-02-27 00:00:00";"2625 38th st e,Minneapolis,MN";44.934;-93.234;3;12;"Standish";"Powderhorn";6
120;"Yardville";"2018-02-27 00:00:00";"5723 Bossen Terr,Minneapolis,MN";44.899;-93.226;3;11;"Wenonah";"Nokomis";6
121;"Yardville";"2018-02-25 00:00:00";"4628 4TH AVE S,Minneapolis,MN";44.919;-93.271;1;8;"Field";"Nokomis";5
122;"Yardville";"2018-02-25 00:00:00";"3200 BLOCK CHICAGO AVE S,Minneapolis,MN";44.945;-93.263;1;9;"Central";"Powderhorn";5
123;"Yardville";"2018-02-25 00:00:00";"3100 BLOCK Chicago Avenue,Minneapolis,MN";44.947;-93.263;1;9;"Central";"Powderhorn";5
124;"Yardville";"2018-02-25 00:00:00";"3100 Chicago ave ,Minneapolis,MN";44.947;-93.263;1;9;"Central";"Powderhorn";5
125;"Yardville";"2018-02-25 00:00:00";"3925 4th Avenue South,Minneapolis,MN";44.932;-93.27;1;8;"Bryant";"Powderhorn";5
126;"Yardville";"2018-02-25 00:00:00";"4352 4th Ave S,Minneapolis,MN";44.924;-93.271;1;8;"Regina";"Nokomis";5
127;"Yardville";"2018-02-25 00:00:00";"3400 Chicago ave ,Minneapolis,MN";44.941;-93.263;1;9;"Central";"Powderhorn";5
128;"Yardville";"2018-02-25 00:00:00";"3600 BLOCK Chicago Avenue,Minneapolis,MN";44.938;-93.263;1;8;"Central";"Powderhorn";5
129;"Yardville";"2018-02-25 00:00:00";"3650 Chicago Ave S,Minneapolis,MN";44.936;-93.263;1;8;"Central";"Powderhorn";5
130;"Yardville";"2018-02-25 00:00:00";"3250 Chicago Ave S,Minneapolis,MN";44.943;-93.263;1;9;"Central";"Powderhorn";5
131;"Yardville";"2018-02-25 00:00:00";"3845 4th Avenue South,Minneapolis,MN";44.933;-93.27;1;8;"Bryant";"Powderhorn";5
132;"Yardville";"2018-02-25 00:00:00";"3220 4th Avenue South,Minneapolis,MN";44.944;-93.271;1;9;"Central";"Powderhorn";5
133;"Yardville";"2018-02-25 00:00:00";"4100 BLOCK Chicago Avenue,Minneapolis,MN";44.929;-93.262;1;8;"Bryant";"Powderhorn";5
134;"Yardville";"2018-02-25 00:00:00";"5400 BLOCK CHICAGO AVE S,Minneapolis,MN";44.905;-93.263;1;11;"Page";"Nokomis";5
135;"Yardville";"2018-02-25 00:00:00";"5600 BLOCK chicago AVE S,Minneapolis,MN";44.9;-93.264;1;11;"Diamond Lake";"Nokomis";5
136;"Yardville";"2018-02-25 00:00:00";"4100 BLOCK CHICAGO AVE,Minneapolis,MN";44.929;-93.262;1;8;"Bryant";"Powderhorn";5
137;"Yardville";"2018-02-25 00:00:00";"3000 block 4th ave s,Minneapolis,MN";44.948;-93.27;1;9;"Central";"Powderhorn";5
138;"Yardville";"2018-02-25 00:00:00";"3300 BLOCK CHICAGO ABE,Minneapolis,MN";44.943;-93.263;1;9;"Central";"Powderhorn";5
139;"Yardville";"2018-02-25 00:00:00";"5600 BLOCK Chicago Avenue,Minneapolis,MN";44.9;-93.264;1;11;"Diamond Lake";"Nokomis";5
140;"Yardville";"2018-02-25 00:00:00";"3000 block 4th ave s,Minneapolis,MN";44.948;-93.27;1;9;"Central";"Powderhorn";5
141;"Yardville";"2018-02-26 00:00:00";"3140 FREMONT AVE S,Minneapolis,MN";44.945;-93.296;2;10;"CARAG";"Calhoun Isle";5
142;"Yardville";"2018-02-26 00:00:00";"633 61st Street West,Minneapolis,MN";44.892;-93.288;1;11;"Windom";"Southwest";5
143;"Yardville";"2018-02-26 00:00:00";"595 61st Street West,Minneapolis,MN";44.892;-93.288;1;11;"Windom";"Southwest";5
144;"Yardville";"2018-02-26 00:00:00";"3114 Fremont Ave South,Minneapolis,MN";44.946;-93.296;2;10;"CARAG";"Calhoun Isle";5
145;"Yardville";"2018-02-26 00:00:00";"3120 freemont ave s,Minneapolis,MN";44.946;-93.296;2;10;"CARAG";"Calhoun Isle";5
146;"Yardville";"2018-02-26 00:00:00";"3326 freemont ave s,Minneapolis,MN";44.942;-93.296;2;10;"CARAG";"Calhoun Isle";5
147;"Yardville";"2018-02-26 00:00:00";"3108 Fremont Avenue South,Minneapolis,MN";44.946;-93.296;2;10;"CARAG";"Calhoun Isle";5
148;"Yardville";"2018-02-26 00:00:00";"5320 Nicollet Av,Minneapolis,MN";44.905;-93.278;1;11;"Tangletown";"Southwest";5
149;"Yardville";"2018-02-26 00:00:00";"4707 Nicollet Ave,Minneapolis,MN";44.918;-93.278;1;11;"Tangletown";"Southwest";5
150;"Yardville";"2018-02-26 00:00:00";"633 61st Street West,Minneapolis,MN";44.892;-93.288;1;11;"Windom";"Southwest";5
151;"Yardville";"2018-02-26 00:00:00";"3430 Emerson Avenue South,Minneapolis,MN";44.94;-93.295;2;10;"CARAG";"Calhoun Isle";5
152;"Yardville";"2018-02-26 00:00:00";"633 61st Street West,Minneapolis,MN";44.892;-93.288;1;11;"Windom";"Southwest";5
153;"Yardville";"2018-02-26 00:00:00";"3416 Emerson Avenue South,Minneapolis,MN";44.941;-93.295;2;10;"CARAG";"Calhoun Isle";5
154;"Yardville";"2018-02-26 00:00:00";"3518 Oakland Ave South,Minneapolis,MN";44.939;-93.267;2;9;"Central";"Powderhorn";5
155;"Yardville";"2018-02-26 00:00:00";"4534 Nicollet ave ,Minneapolis,MN";44.92;-93.278;1;8;"King Field";"Southwest";5
156;"Yardville";"2018-02-26 00:00:00";"3518 Oakland Ave South,Minneapolis,MN";44.939;-93.267;2;9;"Central";"Powderhorn";5
157;"Yardville";"2018-02-26 00:00:00";"3406 emerson ave s,Minneapolis,MN";44.941;-93.295;2;10;"CARAG";"Calhoun Isle";5
158;"Yardville";"2018-02-26 00:00:00";"3304 Emerson ave s ,Minneapolis,MN";44.943;-93.295;2;10;"CARAG";"Calhoun Isle";5
159;"Yardville";"2018-02-26 00:00:00";"4450 NICOLLET AVE,Minneapolis,MN";44.922;-93.278;1;8;"King Field";"Southwest";5
160;"Yardville";"2018-02-26 00:00:00";"28 61st st w ,Minneapolis,MN";44.892;-93.279;1;11;"Windom";"Southwest";5
161;"Yardville";"2018-02-26 00:00:00";"4453 Nicollet ave S,Minneapolis,MN";44.922;-93.278;1;8;"King Field";"Southwest";5
162;"Yardville";"2018-02-26 00:00:00";"4414 Nicollet Ave,Minneapolis,MN";44.923;-93.278;1;8;"King Field";"Southwest";5
163;"Yardville";"2018-02-26 00:00:00";"4325 NICOLLET AVE,Minneapolis,MN";44.924;-93.278;1;8;"King Field";"Southwest";5
164;"Yardville";"2018-02-26 00:00:00";"3521 Nicollet AVE S,Minneapolis,MN";44.939;-93.278;1;8;"Lyndale";"Powderhorn";5
165;"Yardville";"2018-02-26 00:00:00";"4329 NICOLLET AVE S,Minneapolis,MN";44.924;-93.278;1;8;"King Field";"Southwest";5
166;"Yardville";"2018-02-26 00:00:00";"3327 Nicollet ave,Minneapolis,MN";44.942;-93.278;1;8;"Lyndale";"Powderhorn";5
167;"Yardville";"2018-02-26 00:00:00";"3317 NICOLLET Ave,Minneapolis,MN";44.942;-93.278;1;8;"Lyndale";"Powderhorn";5
168;"Yardville";"2018-02-26 00:00:00";"3325 Nicollet ave ,Minneapolis,MN";44.942;-93.278;1;8;"Lyndale";"Powderhorn";5
169;"Yardville";"2018-02-26 00:00:00";"3006 James ave s,Minneapolis,MN";44.948;-93.303;2;10;"ECCO";"Calhoun Isle";5
170;"Yardville";"2018-02-26 00:00:00";"4410 Beard Avenue South,Minneapolis,MN";44.923;-93.324;2;13;"Linden Hills";"Southwest";5
171;"Yardville";"2018-02-26 00:00:00";"3000 James ave s,Minneapolis,MN";44.948;-93.304;2;10;"ECCO";"Calhoun Isle";5
172;"Yardville";"2018-02-26 00:00:00";"4402 BEARD AVE S,Minneapolis,MN";44.923;-93.324;2;13;"Linden Hills";"Southwest";5
173;"Yardville";"2018-02-26 00:00:00";"3012 James Ave South,Minneapolis,MN";44.948;-93.304;2;10;"ECCO";"Calhoun Isle";5
174;"Yardville";"2018-02-26 00:00:00";"3044 James ave s.,Minneapolis,MN";44.947;-93.304;2;10;"ECCO";"Calhoun Isle";5
175;"Yardville";"2018-02-26 00:00:00";"3148 James Ave South,Minneapolis,MN";44.945;-93.303;2;10;"ECCO";"Calhoun Isle";5
176;"Yardville";"2018-02-26 00:00:00";"3128 james ave s,Minneapolis,MN";44.946;-93.304;2;10;"ECCO";"Calhoun Isle";5
177;"Yardville";"2018-02-26 00:00:00";"3100 CALHOUN BLVD W,Minneapolis,MN";44.946;-93.321;2;13;"West Calhoun";"Calhoun Isle";5
178;"Yardville";"2018-02-26 00:00:00";"3114 James Ave South,Minneapolis,MN";44.946;-93.303;2;10;"ECCO";"Calhoun Isle";5
179;"Yardville";"2018-02-26 00:00:00";"3532 HUMBOLD AVE S,Minneapolis,MN";44.939;-93.301;2;10;"ECCO";"Calhoun Isle";5
180;"Yardville";"2018-02-26 00:00:00";"3518 holmes ave s,Minneapolis,MN";44.939;-93.3;2;10;"ECCO";"Calhoun Isle";5
181;"Yardville";"2018-02-26 00:00:00";"3338 humboldt ave s.,Minneapolis,MN";44.942;-93.301;2;10;"ECCO";"Calhoun Isle";5
182;"Yardville";"2018-02-26 00:00:00";"3202 Humboldt Ave South,Minneapolis,MN";44.945;-93.301;2;10;"ECCO";"Calhoun Isle";5
